Exp	PMUs
0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1	38
2	38,28
3	38,28,36
4	38,28,36,31
5	38,28,36,31,39
6	38,28,36,31,39,15,29
7	38,28,36,31,39,15,29,35
8	38,28,36,31,39,15,29,35,1
9	38,28,36,31,39,15,29,35,1,34
10	38,28,36,31,39,15,29,35,1,34,25
11	38,28,36,31,39,15,29,35,1,34,25,4,19
12	38,28,36,31,39,15,29,35,1,34,25,4,19,33
13	38,28,36,31,39,15,29,35,1,34,25,4,19,33,10,30
14	38,28,36,31,39,15,29,35,1,34,25,4,19,33,10,23
15	38,28,36,31,39,15,29,35,1,34,25,4,19,33,10,23,32
16	38,28,36,31,39,15,29,35,1,34,25,4,19,33,10,23,32,14
17	38,28,36,31,39,15,29,35,1,34,25,4,19,33,10,23,32,2,16,17,18,21,27
18	38,28,36,31,39,15,29,35,1,34,25,4,19,33,10,23,32,2,16,17,18,21,27,6
19	38,28,36,31,39,15,29,35,1,34,25,4,19,33,10,23,32,2,16,17,18,21,27,8,20
20	38,28,36,31,39,15,29,35,1,34,25,4,19,33,10,23,32,2,16,17,18,21,27,8,20,9
21	38,28,36,31,39,15,29,35,1,34,25,4,19,33,10,23,32,2,16,17,18,21,27,8,20,9,37
22	38,28,36,31,39,15,29,35,1,34,25,4,19,33,10,23,32,2,16,17,18,21,27,8,20,9,37,22
23	38,28,36,31,39,15,29,35,1,34,25,4,19,33,10,23,32,2,16,17,18,21,27,8,20,9,37,22,13
